Scratcher Holiday,Ad Changepoint,Year Changepoint,Holidays
12/14/2016,2/4/2015,2/1/2015,11/26/2015
12/2/2016,2/11/2015,1/31/2016,11/24/2016
11/9/2016,2/18/2015,1/29/2017,12/25/2015
10/14/2016,2/25/2015,,12/25/2016
8/12/2016,3/4/2015,,1/1/2016
7/15/2016,3/11/2015,,1/1/2017
6/17/2016,3/18/2015,,4/5/2015
4/1/2016,3/25/2015,,3/27/2016
3/16/2016,4/1/2015,,4/16/2017
12/16/2015,4/8/2015,,7/4/2015
12/2/2015,4/15/2015,,7/4/2016
11/11/2015,4/22/2015,,7/4/2017
10/14/2015,4/29/2015,,12/25/2017
8/12/2015,5/6/2015,,
7/15/2015,5/13/2015,,
6/17/2015,5/20/2015,,
1/27/2016,5/27/2015,,
3/11/2015,6/3/2015,,
3/15/2017,6/10/2015,,
2/1/2017,6/17/2015,,
,6/24/2015,,
,7/1/2015,,
,7/8/2015,,
,7/15/2015,,
,7/22/2015,,
,7/29/2015,,
,8/5/2015,,
,8/12/2015,,
,8/19/2015,,
,8/26/2015,,
,11/4/2015,,
,11/11/2015,,
,11/18/2015,,
,11/25/2015,,
,12/2/2015,,
,12/9/2015,,
,12/16/2015,,
,12/23/2015,,
,12/30/2015,,
,1/6/2016,,
,1/13/2016,,
,1/20/2016,,
,1/27/2016,,
,2/3/2016,,
,2/10/2016,,
,2/17/2016,,
,2/24/2016,,
,3/2/2016,,
,3/9/2016,,
,3/16/2016,,
,3/23/2016,,
,3/30/2016,,
,4/6/2016,,
,4/13/2016,,
,4/20/2016,,
,4/27/2016,,
,5/4/2016,,
,5/11/2016,,
,5/18/2016,,
,5/25/2016,,
,6/1/2016,,
,6/8/2016,,
,6/15/2016,,
,6/22/2016,,
,6/29/2016,,
,7/6/2016,,
,7/13/2016,,
,7/20/2016,,
,7/27/2016,,
,8/3/2016,,
,8/10/2016,,
,8/17/2016,,
,8/24/2016,,
,8/31/2016,,
,9/7/2016,,
,9/14/2016,,
,9/21/2016,,
,9/28/2016,,
,10/5/2016,,
,10/12/2016,,
,10/19/2016,,
,10/26/2016,,
,11/2/2016,,
,11/9/2016,,
,11/16/2016,,
,11/23/2016,,
,11/30/2016,,
,12/7/2016,,
,12/14/2016,,
,12/21/2016,,
,12/28/2016,,
,1/4/2017,,
,1/11/2017,,
,1/18/2017,,
,1/25/2017,,
,2/1/2017,,
,2/8/2017,,
,2/15/2017,,
,2/22/2017,,
,3/1/2017,,
,3/8/2017,,
,3/15/2017,,
,3/22/2017,,
,3/29/2017,,
,4/5/2017,,
,4/12/2017,,
,4/19/2017,,
,4/26/2017,,
,5/3/2017,,
,5/10/2017,,
,5/17/2017,,
,5/24/2017,,
,5/31/2017,,
,6/7/2017,,
,6/14/2017,,
,6/23/2017,,
,6/30/2017,,
,7/7/2017,,
,7/14/2017,,
,7/21/2017,,
,7/28/2017,,
