ds,# Txns,Sales $
7-Feb-2015,366551.00,21168986.29
14-Feb-2015,434923.00,26486490.60
21-Feb-2015,351871.00,20290494.37
28-Feb-2015,369649.00,20645965.31
7-Mar-2015,364973.00,19778869.40
14-Mar-2015,417173.00,27034179.13
21-Mar-2015,397308.00,22969482.82
28-Mar-2015,373265.00,20483399.42
4-Apr-2015,410629.00,23361853.38
11-Apr-2015,362236.00,19529512.08
18-Apr-2015,405847.00,25537228.13
25-Apr-2015,357437.00,19468998.91
2-May-2015,388778.00,23056945.36
9-May-2015,423660.00,24430652.50
16-May-2015,386856.00,22744924.24
23-May-2015,403756.00,24360966.43
30-May-2015,374125.00,21949382.72
6-Jun-2015,378753.00,20785364.81
13-Jun-2015,372742.00,20674373.92
20-Jun-2015,414885.00,28241711.44
27-Jun-2015,366175.00,21679947.30
4-Jul-2015,383984.00,23369538.46
11-Jul-2015,340621.00,18064992.13
18-Jul-2015,387312.00,24484490.83
25-Jul-2015,373395.00,21655539.03
1-Aug-2015,370868.00,21457121.77
8-Aug-2015,363228.00,20347346.44
15-Aug-2015,400218.00,26254500.49
22-Aug-2015,382472.00,23292412.55
29-Aug-2015,372351.00,22183939.77
5-Sep-2015,398362.00,24211048.78
12-Sep-2015,343547.00,19973544.16
19-Sep-2015,387897.00,24114442.47
26-Sep-2015,336246.00,18973545.18
3-Oct-2015,375777.00,22748623.94
10-Oct-2015,361769.00,19851630.44
17-Oct-2015,380935.00,25174267.29
24-Oct-2015,372123.00,21987217.37
31-Oct-2015,376714.00,21471959.43
7-Nov-2015,362194.00,20944510.64
14-Nov-2015,401720.00,29629141.82
21-Nov-2015,405917.00,24873213.03
28-Nov-2015,500342.00,59838853.87
5-Dec-2015,491214.00,34657090.14
12-Dec-2015,500596.00,35310129.99
19-Dec-2015,560256.00,43813515.65
26-Dec-2015,527120.00,42371536.77
2-Jan-2016,375308.00,19797565.69
9-Jan-2016,350386.00,16909202.45
16-Jan-2016,370822.00,20424712.17
23-Jan-2016,326668.00,16324974.17
30-Jan-2016,368628.00,22934347.87
6-Feb-2016,362827.00,20905300.28
13-Feb-2016,379198.00,22621420.72
20-Feb-2016,349552.00,19992186.48
27-Feb-2016,375983.00,21692541.23
5-Mar-2016,349030.00,18669308.43
12-Mar-2016,346583.00,18984136.49
19-Mar-2016,384059.00,24724335.67
26-Mar-2016,377989.00,22197320.89
2-Apr-2016,401293.00,25648483.20
9-Apr-2016,378143.00,21365482.53
16-Apr-2016,385048.00,23840784.04
23-Apr-2016,371725.00,21856151.53
30-Apr-2016,404623.00,25423393.46
7-May-2016,432753.00,25328356.44
14-May-2016,386673.00,22416320.87
21-May-2016,366395.00,20970907.93
28-May-2016,417320.00,24637483.82
4-Jun-2016,387115.00,22334104.75
11-Jun-2016,363401.00,19407964.72
18-Jun-2016,420353.00,28109858.11
25-Jun-2016,380771.00,21950006.75
2-Jul-2016,423330.00,26000401.33
9-Jul-2016,372724.00,20843386.45
16-Jul-2016,403816.00,24511182.76
23-Jul-2016,368584.00,20694334.71
30-Jul-2016,371849.00,21218608.54
6-Aug-2016,394797.00,22789551.88
13-Aug-2016,395823.00,25617255.75
20-Aug-2016,391442.00,23810763.86
27-Aug-2016,358135.00,20166609.04
3-Sep-2016,395517.00,23419672.85
10-Sep-2016,350430.00,20040684.68
17-Sep-2016,366094.00,21720197.09
24-Sep-2016,336336.00,19259249.56
1-Oct-2016,363316.00,20927389.84
8-Oct-2016,339955.00,18709991.19
15-Oct-2016,371445.00,24861208.14
22-Oct-2016,370859.00,22535104.08
29-Oct-2016,348535.00,19165953.85
5-Nov-2016,359663.00,20342639.91
12-Nov-2016,376789.00,25492709.64
19-Nov-2016,421998.00,26946740.78
26-Nov-2016,493226.00,56478610.63
3-Dec-2016,466376.00,33498500.70
10-Dec-2016,473058.00,31851212.32
17-Dec-2016,535456.00,42336772.89
24-Dec-2016,596989.00,49766539.13
31-Dec-2016,371537.00,20649983.75
7-Jan-2017,316991.00,15295681.26
14-Jan-2017,341938.00,18223878.97
21-Jan-2017,322523.00,17005645.39
28-Jan-2017,329003.00,17167199.63
4-Feb-2017,366273.00,21963422.89
11-Feb-2017,345858.00,19310931.08
18-Feb-2017,384094.00,21217927.30
25-Feb-2017,354499.00,21226163.86
4-Mar-2017,354166.00,20154033.33
11-Mar-2017,341114.00,18569038.82
18-Mar-2017,380913.00,25085067.90
25-Mar-2017,366941.00,21945897.48
